,state_code,district_code,block_code,state_name,district_name,block_name,finyear,rejected,total,invalid
0,1,101,101001,ANDAMAN AND NICOBAR,SOUTH ANDAMAN,Prothrapur,18.0,4,572,0
1,1,101,101001,ANDAMAN AND NICOBAR,SOUTH ANDAMAN,Prothrapur,19.0,0,1649,0
2,1,101,101001,ANDAMAN AND NICOBAR,SOUTH ANDAMAN,Prothrapur,20.0,2,1219,0
3,1,101,101002,ANDAMAN AND NICOBAR,SOUTH ANDAMAN,Ferrargunj,19.0,4,3965,0
4,1,101,101002,ANDAMAN AND NICOBAR,SOUTH ANDAMAN,Ferrargunj,20.0,36,4009,0
5,1,101,101003,ANDAMAN AND NICOBAR,SOUTH ANDAMAN,Little Andaman,19.0,4,1249,0
6,1,101,101003,ANDAMAN AND NICOBAR,SOUTH ANDAMAN,Little Andaman,20.0,14,1568,0
7,1,103,103001,ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN,Mayabunder,19.0,69,13172,0
8,1,103,103001,ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN,Mayabunder,20.0,19,7489,0
9,1,103,103002,ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN,Diglipur,19.0,98,8365,0
10,1,103,103002,ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN,Diglipur,20.0,504,7569,0
11,1,103,103003,ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN,Rangat,19.0,22,6704,0
12,1,103,103003,ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN,Rangat,20.0,2,3380,0
13,2,201,201001,ANDHRA PRADESH,SRIKAKULAM,Veeraghattam,18.0,0,105473,0
14,2,201,201001,ANDHRA PRADESH,SRIKAKULAM,Veeraghattam,19.0,9147,182620,0
15,2,201,201001,ANDHRA PRADESH,SRIKAKULAM,Veeraghattam,20.0,4994,284074,0
16,2,201,201002,ANDHRA PRADESH,SRIKAKULAM,Vangara,18.0,0,84171,0
17,2,201,201002,ANDHRA PRADESH,SRIKAKULAM,Vangara,19.0,5977,126701,0
18,2,201,201002,ANDHRA PRADESH,SRIKAKULAM,Vangara,20.0,2810,192350,0
19,2,201,201003,ANDHRA PRADESH,SRIKAKULAM,Regidiamadalavalasa,18.0,0,195536,0
20,2,201,201003,ANDHRA PRADESH,SRIKAKULAM,Regidiamadalavalasa,19.0,7452,241871,0
21,2,201,201003,ANDHRA PRADESH,SRIKAKULAM,Regidiamadalavalasa,20.0,3222,376580,0
22,2,201,201004,ANDHRA PRADESH,SRIKAKULAM,Rajam,18.0,0,140661,0
23,2,201,201004,ANDHRA PRADESH,SRIKAKULAM,Rajam,19.0,4760,184291,0
24,2,201,201004,ANDHRA PRADESH,SRIKAKULAM,Rajam,20.0,3284,290868,0
25,2,201,201005,ANDHRA PRADESH,SRIKAKULAM,Ganguvari Singadam,18.0,0,171934,0
26,2,201,201005,ANDHRA PRADESH,SRIKAKULAM,Ganguvari Singadam,19.0,4063,206258,0
27,2,201,201005,ANDHRA PRADESH,SRIKAKULAM,Ganguvari Singadam,20.0,2018,289054,0
28,2,201,201006,ANDHRA PRADESH,SRIKAKULAM,Laveru,18.0,0,205105,0
29,2,201,201006,ANDHRA PRADESH,SRIKAKULAM,Laveru,19.0,9401,257216,0
30,2,201,201006,ANDHRA PRADESH,SRIKAKULAM,Laveru,20.0,5246,359716,0
31,2,201,201007,ANDHRA PRADESH,SRIKAKULAM,Ranastalam,18.0,0,241523,0
32,2,201,201007,ANDHRA PRADESH,SRIKAKULAM,Ranastalam,19.0,7325,326447,0
33,2,201,201007,ANDHRA PRADESH,SRIKAKULAM,Ranastalam,20.0,3158,468988,0
34,2,201,201008,ANDHRA PRADESH,SRIKAKULAM,Etcherla,18.0,0,239981,0
35,2,201,201008,ANDHRA PRADESH,SRIKAKULAM,Etcherla,19.0,10752,267428,0
36,2,201,201008,ANDHRA PRADESH,SRIKAKULAM,Etcherla,20.0,3382,398516,0
