,districtCode,blockCode,finyear,uniqueJobcards
0,2721,2721001,20,535
1,2721,2721002,20,675
2,2721,2721003,20,742
3,2721,2721004,20,2228
4,2721,2721005,20,1658
5,2721,2721006,20,2138
6,2721,2721009,20,2041
7,2721,2721008,20,2314
8,2721,2721007,20,1308
9,2706,2706002,20,65
10,2706,2706001,20,123
11,2706,2706003,20,1534
12,2706,2706004,20,350
13,2706,2706005,20,27
14,2706,2706006,20,606
15,2706,2706007,20,182
16,2706,2706008,20,11
17,2706,2706011,20,379
18,2706,2706009,20,75
19,2706,2706010,20,217
20,2706,2706012,20,340
21,2706,2706013,20,159
22,2706,2706014,20,297
23,2728,2728005,20,1488
24,2728,2728011,20,1489
25,2728,2728006,20,940
26,2728,2728004,20,2236
27,2728,2728009,20,920
28,2728,2728010,20,1403
29,2728,2728003,20,1766
30,2728,2728001,20,2340
31,2728,2728008,20,2125
32,2728,2728007,20,1714
33,2728,2728012,20,976
34,2731,2731001,20,1492
35,2731,2731003,20,961
36,2731,2731002,20,579
37,2731,2731006,20,729
38,2731,2731007,20,2377
39,2731,2731004,20,1770
40,2731,2731005,20,2085
41,2717,2717003,20,847
42,2717,2717001,20,669
43,2717,2717002,20,1392
44,2717,2717004,20,732
45,2717,2717011,20,769
46,2717,2717005,20,1419
47,2717,2717015,20,689
48,2717,2717014,20,728
49,2717,2717012,20,1336
50,2717,2717018,20,744
51,2717,2717017,20,617
52,2717,2717013,20,515
53,2717,2717016,20,326
54,2717,2717010,20,1328
55,2717,2717007,20,415
56,2717,2717006,20,1471
57,2717,2717008,20,597
58,2707,2707009,20,341
59,2707,2707004,20,311
60,2707,2707002,20,285
61,2707,2707006,20,1103
62,2707,2707005,20,470
63,2707,2707003,20,936
64,2707,2707010,20,234
65,2707,2707001,20,300
66,2707,2707007,20,555
67,2707,2707008,20,0
68,2724,2724001,20,1193
69,2724,2724004,20,655
70,2724,2724012,20,380
71,2724,2724002,20,520
72,2724,2724010,20,891
73,2724,2724009,20,461
74,2724,2724005,20,757
75,2724,2724011,20,541
76,2724,2724006,20,324
77,2724,2724007,20,372
78,2724,2724003,20,1143
79,2724,2724008,20,602
80,2703,2703001,20,1369
81,2703,2703002,20,1813
82,2703,2703006,20,3692
83,2703,2703003,20,2592
84,2703,2703004,20,2525
85,2703,2703005,20,1591
86,2703,2703007,20,1929
87,2723,2723005,20,410
88,2723,2723001,20,2232
89,2723,2723003,20,1097
90,2723,2723002,20,1871
91,2723,2723004,20,254
92,2729,2729011,20,537
93,2729,2729003,20,573
94,2729,2729008,20,568
95,2729,2729004,20,311
96,2729,2729014,20,194
97,2729,2729005,20,318
98,2729,2729007,20,142
99,2729,2729002,20,309
100,2729,2729006,20,367
101,2729,2729009,20,530
102,2729,2729001,20,222
103,2704,2704007,20,313
104,2704,2704004,20,620
105,2704,2704002,20,1100
106,2704,2704005,20,390
107,2704,2704003,20,1614
108,2704,2704006,20,400
109,2704,2704001,20,963
110,2711,2711001,20,749
111,2711,2711004,20,362
112,2711,2711005,20,1296
113,2711,2711006,20,596
114,2711,2711002,20,549
115,2711,2711003,20,824
116,2708,2708002,20,1432
117,2708,2708001,20,1163
118,2708,2708003,20,429
119,2708,2708004,20,927
120,2708,2708005,20,389
121,2727,2727002,20,1022
122,2727,2727005,20,969
123,2727,2727008,20,415
